feature1,feature2,label
46,59,0
15,69,1
48,31,1
35,64,1
7,92,1
33,8,1
0,7,1
33,19,1
0,38,0
95,6,0
56,36,0
46,34,1
86,49,0
56,36,1
62,88,0
31,47,0
44,17,1
45,41,0
19,48,0
6,92,0
21,50,1
72,7,0
35,46,1
97,23,0
7,92,1
46,91,0
76,19,0
96,8,0
35,52,0
67,14,1
35,4,0
18,59,1
83,52,1
44,41,0
13,95,1
42,50,0
72,99,0
10,85,1
47,81,0
57,28,1
47,99,0
57,43,0
22,44,0
46,45,1
17,96,1
51,56,1
41,20,1
22,97,1
65,50,1
30,58,0
6,35,0
95,96,1
61,45,1
39,12,1
34,44,1
35,79,1
65,39,0
85,64,0
71,11,0
17,42,1
48,95,1
72,14,1
28,49,0
22,59,0
23,53,0
95,53,0
41,44,1
66,83,1
91,52,1
81,77,0
66,2,0
25,28,1
52,11,1
91,31,1
39,84,1
24,40,0
70,33,1
36,34,0
84,42,0
27,63,1
26,81,1
2,92,0
65,92,0
2,91,1
40,68,0
60,43,1
86,37,0
32,30,0
36,15,0
72,34,0
79,87,1
50,85,1
1,9,0
68,85,0
1,52,0
84,49,0
17,56,0
17,70,1
22,23,1
19,56,0
